date_id,date,year,month,month_name,quarter,week,day_of_week,is_weekend
20151224,2015-12-24,2015,12,December,4,52,Thursday,0
20151217,2015-12-17,2015,12,December,4,51,Thursday,0
20151126,2015-11-26,2015,11,November,4,48,Thursday,0
20171212,2017-12-12,2017,12,December,4,50,Tuesday,0
20180104,2018-01-04,2018,1,January,1,1,Thursday,0
20171229,2017-12-29,2017,12,December,4,52,Friday,0
20171009,2017-10-09,2017,10,October,4,41,Monday,0
20150518,2015-05-18,2015,5,May,2,21,Monday,0
20150422,2015-04-22,2015,4,April,2,17,Wednesday,0
20170613,2017-06-13,2017,6,June,2,24,Tuesday,0
20170308,2017-03-08,2017,3,March,1,10,Wednesday,0
20170315,2017-03-15,2017,3,March,1,11,Wednesday,0
20150107,2015-01-07,2015,1,January,1,2,Wednesday,0
20171220,2017-12-20,2017,12,December,4,51,Wednesday,0
20171126,2017-11-26,2017,11,November,4,47,Sunday,1
20160501,2016-05-01,2016,5,May,2,17,Sunday,1
20150404,2015-04-04,2015,4,April,2,14,Saturday,1
20170513,2017-05-13,2017,5,May,2,19,Saturday,1
20170525,2017-05-25,2017,5,May,2,21,Thursday,0
20161101,2016-11-01,2016,11,November,4,44,Tuesday,0
20171113,2017-11-13,2017,11,November,4,46,Monday,0
20171216,2017-12-16,2017,12,December,4,50,Saturday,1
20180125,2018-01-25,2018,1,January,1,4,Thursday,0
20160822,2016-08-22,2016,8,August,3,34,Monday,0
20170421,2017-04-21,2017,4,April,2,16,Friday,0
20160201,2016-02-01,2016,2,February,1,5,Monday,0
20151204,2015-12-04,2015,12,December,4,49,Friday,0
20160305,2016-03-05,2016,3,March,1,9,Saturday,1
20160912,2016-09-12,2016,9,September,3,37,Monday,0
20160108,2016-01-08,2016,1,January,1,1,Friday,0
20151222,2015-12-22,2015,12,December,4,52,Tuesday,0
20160308,2016-03-08,2016,3,March,1,10,Tuesday,0
20171217,2017-12-17,2017,12,December,4,50,Sunday,1
20171231,2017-12-31,2017,12,December,4,52,Sunday,1
20180121,2018-01-21,2018,1,January,1,3,Sunday,1
20171112,2017-11-12,2017,11,November,4,45,Sunday,1
20180119,2018-01-19,2018,1,January,1,3,Friday,0
20171127,2017-11-27,2017,11,November,4,48,Monday,0
20180105,2018-01-05,2018,1,January,1,1,Friday,0
20171209,2017-12-09,2017,12,December,4,49,Saturday,1
20171211,2017-12-11,2017,12,December,4,50,Monday,0
20180123,2018-01-23,2018,1,January,1,4,Tuesday,0
20171125,2017-11-25,2017,11,November,4,47,Saturday,1
20171128,2017-11-28,2017,11,November,4,48,Tuesday,0
20171111,2017-11-11,2017,11,November,4,45,Saturday,1
20180124,2018-01-24,2018,1,January,1,4,Wednesday,0
20180120,2018-01-20,2018,1,January,1,3,Saturday,1
20180118,2018-01-18,2018,1,January,1,3,Thursday,0
20180122,2018-01-22,2018,1,January,1,4,Monday,0
20171208,2017-12-08,2017,12,December,4,49,Friday,0
20171210,2017-12-10,2017,12,December,4,49,Sunday,1
20180108,2018-01-08,2018,1,January,1,2,Monday,0
20171129,2017-11-29,2017,11,November,4,48,Wednesday,0
20160924,2016-09-24,2016,9,September,3,38,Saturday,1
20160811,2016-08-11,2016,8,August,3,32,Thursday,0
20160911,2016-09-11,2016,9,September,3,36,Sunday,1
20170529,2017-05-29,2017,5,May,2,22,Monday,0
20150227,2015-02-27,2015,2,February,1,9,Friday,0
20150523,2015-05-23,2015,5,May,2,21,Saturday,1
20150131,2015-01-31,2015,1,January,1,5,Saturday,1
20150331,2015-03-31,2015,3,March,1,14,Tuesday,0
20150122,2015-01-22,2015,1,January,1,4,Thursday,0
20150303,2015-03-03,2015,3,March,1,10,Tuesday,0
20150319,2015-03-19,2015,3,March,1,12,Thursday,0
20170511,2017-05-11,2017,5,May,2,19,Thursday,0
20150206,2015-02-06,2015,2,February,1,6,Friday,0
20150113,2015-01-13,2015,1,January,1,3,Tuesday,0
20170129,2017-01-29,2017,1,January,1,4,Sunday,1
20150201,2015-02-01,2015,2,February,1,5,Sunday,1
20170418,2017-04-18,2017,4,April,2,16,Tuesday,0
20150207,2015-02-07,2015,2,February,1,6,Saturday,1
20150424,2015-04-24,2015,4,April,2,17,Friday,0
20150521,2015-05-21,2015,5,May,2,21,Thursday,0
20150301,2015-03-01,2015,3,March,1,9,Sunday,1
20170311,2017-03-11,2017,3,March,1,10,Saturday,1
20150428,2015-04-28,2015,4,April,2,18,Tuesday,0
20170214,2017-02-14,2017,2,February,1,7,Tuesday,0
20150525,2015-05-25,2015,5,May,2,22,Monday,0
20150330,2015-03-30,2015,3,March,1,14,Monday,0
20170523,2017-05-23,2017,5,May,2,21,Tuesday,0
20150223,2015-02-23,2015,2,February,1,9,Monday,0
20170524,2017-05-24,2017,5,May,2,21,Wednesday,0
20170512,2017-05-12,2017,5,May,2,19,Friday,0
20150129,2015-01-29,2015,1,January,1,5,Thursday,0
20170409,2017-04-09,2017,4,April,2,14,Sunday,1
20150318,2015-03-18,2015,3,March,1,12,Wednesday,0
20150411,2015-04-11,2015,4,April,2,15,Saturday,1
20170521,2017-05-21,2017,5,May,2,20,Sunday,1
20170314,2017-03-14,2017,3,March,1,11,Tuesday,0
20150326,2015-03-26,2015,3,March,1,13,Thursday,0
20150218,2015-02-18,2015,2,February,1,8,Wednesday,0
20151114,2015-11-14,2015,11,November,4,46,Saturday,1
20170928,2017-09-28,2017,9,September,3,39,Thursday,0
20170510,2017-05-10,2017,5,May,2,19,Wednesday,0
20170119,2017-01-19,2017,1,January,1,3,Thursday,0
20150305,2015-03-05,2015,3,March,1,10,Thursday,0
20150407,2015-04-07,2015,4,April,2,15,Tuesday,0
20170605,2017-06-05,2017,6,June,2,23,Monday,0
20160516,2016-05-16,2016,5,May,2,20,Monday,0
20160813,2016-08-13,2016,8,August,3,32,Saturday,1
20160517,2016-05-17,2016,5,May,2,20,Tuesday,0
20160925,2016-09-25,2016,9,September,3,38,Sunday,1
20160629,2016-06-29,2016,6,June,2,26,Wednesday,0
20160503,2016-05-03,2016,5,May,2,18,Tuesday,0
20160425,2016-04-25,2016,4,April,2,17,Monday,0
20170304,2017-03-04,2017,3,March,1,9,Saturday,1
20170212,2017-02-12,2017,2,February,1,6,Sunday,1
20171015,2017-10-15,2017,10,October,4,41,Sunday,1
20171028,2017-10-28,2017,10,October,4,43,Saturday,1
20171021,2017-10-21,2017,10,October,4,42,Saturday,1
20170620,2017-06-20,2017,6,June,2,25,Tuesday,0
20170709,2017-07-09,2017,7,July,3,27,Sunday,1
20170930,2017-09-30,2017,9,September,3,39,Saturday,1
20150314,2015-03-14,2015,3,March,1,11,Saturday,1
20171225,2017-12-25,2017,12,December,4,52,Monday,0
20171121,2017-11-21,2017,11,November,4,47,Tuesday,0
20180106,2018-01-06,2018,1,January,1,1,Saturday,1
20160423,2016-04-23,2016,4,April,2,16,Saturday,1
20160601,2016-06-01,2016,6,June,2,22,Wednesday,0
20160526,2016-05-26,2016,5,May,2,21,Thursday,0
20160623,2016-06-23,2016,6,June,2,25,Thursday,0
20170707,2017-07-07,2017,7,July,3,27,Friday,0
20170113,2017-01-13,2017,1,January,1,2,Friday,0
20160922,2016-09-22,2016,9,September,3,38,Thursday,0
20160429,2016-04-29,2016,4,April,2,17,Friday,0
20160514,2016-05-14,2016,5,May,2,19,Saturday,1
20160406,2016-04-06,2016,4,April,2,14,Wednesday,0
20160506,2016-05-06,2016,5,May,2,18,Friday,0
20160805,2016-08-05,2016,8,August,3,31,Friday,0
20161221,2016-12-21,2016,12,December,4,51,Wednesday,0
20160417,2016-04-17,2016,4,April,2,15,Sunday,1
20170816,2017-08-16,2017,8,August,3,33,Wednesday,0
20160608,2016-06-08,2016,6,June,2,23,Wednesday,0
20160711,2016-07-11,2016,7,July,3,28,Monday,0
20171031,2017-10-31,2017,10,October,4,44,Tuesday,0
20150708,2015-07-08,2015,7,July,3,28,Wednesday,0
20160718,2016-07-18,2016,7,July,3,29,Monday,0
20160904,2016-09-04,2016,9,September,3,35,Sunday,1
20150928,2015-09-28,2015,9,September,3,40,Monday,0
20150709,2015-07-09,2015,7,July,3,28,Thursday,0
20160221,2016-02-21,2016,2,February,1,7,Sunday,1
20171018,2017-10-18,2017,10,October,4,42,Wednesday,0
20171007,2017-10-07,2017,10,October,4,40,Saturday,1
20160320,2016-03-20,2016,3,March,1,11,Sunday,1
20170104,2017-01-04,2017,1,January,1,1,Wednesday,0
20171023,2017-10-23,2017,10,October,4,43,Monday,0
20170823,2017-08-23,2017,8,August,3,34,Wednesday,0
20150915,2015-09-15,2015,9,September,3,38,Tuesday,0
20180117,2018-01-17,2018,1,January,1,3,Wednesday,0
20180116,2018-01-16,2018,1,January,1,3,Tuesday,0
20180115,2018-01-15,2018,1,January,1,3,Monday,0
20180114,2018-01-14,2018,1,January,1,2,Sunday,1
20171207,2017-12-07,2017,12,December,4,49,Thursday,0
20171206,2017-12-06,2017,12,December,4,49,Wednesday,0
20171205,2017-12-05,2017,12,December,4,49,Tuesday,0
