date_id,date,year,month,month_name,quarter,week,day_of_week,is_weekend
20170313,2017-03-13,2017,3,March,1,11,Monday,0
20170601,2017-06-01,2017,6,June,2,22,Thursday,0
20170406,2017-04-06,2017,4,April,2,14,Thursday,0
20170127,2017-01-27,2017,1,January,1,4,Friday,0
20150212,2015-02-12,2015,2,February,1,7,Thursday,0
20170305,2017-03-05,2017,3,March,1,9,Sunday,1
20150419,2015-04-19,2015,4,April,2,16,Sunday,1
20150320,2015-03-20,2015,3,March,1,12,Friday,0
20170518,2017-05-18,2017,5,May,2,20,Thursday,0
20150220,2015-02-20,2015,2,February,1,8,Friday,0
20150504,2015-05-04,2015,5,May,2,19,Monday,0
20170219,2017-02-19,2017,2,February,1,7,Sunday,1
20150130,2015-01-30,2015,1,January,1,5,Friday,0
20170331,2017-03-31,2017,3,March,1,13,Friday,0
20170424,2017-04-24,2017,4,April,2,17,Monday,0
20150322,2015-03-22,2015,3,March,1,12,Sunday,1
20170203,2017-02-03,2017,2,February,1,5,Friday,0
